COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,7,14/01/2015 04,14/01/2015 05,3,ug/m3
2000003,7,14/01/2015 05,14/01/2015 06,3,ug/m3
2000003,7,14/01/2015 06,14/01/2015 07,3,ug/m3
2000003,7,14/01/2015 07,14/01/2015 08,3,ug/m3
2000003,7,14/01/2015 08,14/01/2015 09,3,ug/m3
2000003,7,14/01/2015 09,14/01/2015 10,3,ug/m3
2000003,7,14/01/2015 10,14/01/2015 11,3,ug/m3
2000003,7,14/01/2015 11,14/01/2015 12,6,ug/m3
2000003,7,14/01/2015 12,14/01/2015 13,10,ug/m3
2000003,7,14/01/2015 13,14/01/2015 14,13,ug/m3
2000003,7,14/01/2015 14,14/01/2015 15,13,ug/m3
2000003,7,14/01/2015 15,14/01/2015 16,9,ug/m3
2000003,7,14/01/2015 16,14/01/2015 17,4,ug/m3
2000003,7,14/01/2015 17,14/01/2015 18,3,ug/m3
2000003,7,14/01/2015 18,14/01/2015 19,3,ug/m3
2000003,7,14/01/2015 19,14/01/2015 20,3,ug/m3
2000003,7,14/01/2015 20,14/01/2015 21,2,ug/m3
2000003,7,14/01/2015 21,14/01/2015 22,5,ug/m3
2000003,7,14/01/2015 22,14/01/2015 23,8,ug/m3
2000003,7,14/01/2015 23,15/01/2015 00,4,ug/m3
2000003,7,15/01/2015 00,15/01/2015 01,3,ug/m3
2000003,7,15/01/2015 01,15/01/2015 02,3,ug/m3
2000003,7,15/01/2015 03,15/01/2015 04,3,ug/m3
2000003,7,15/01/2015 04,15/01/2015 05,5,ug/m3
2000003,7,15/01/2015 05,15/01/2015 06,3,ug/m3
2000003,7,15/01/2015 06,15/01/2015 07,3,ug/m3
2000003,7,15/01/2015 07,15/01/2015 08,3,ug/m3
2000003,7,15/01/2015 08,15/01/2015 09,3,ug/m3
2000003,7,15/01/2015 09,15/01/2015 10,4,ug/m3
2000003,7,15/01/2015 10,15/01/2015 11,5,ug/m3
2000003,7,15/01/2015 11,15/01/2015 12,4,ug/m3
2000003,7,15/01/2015 12,15/01/2015 13,4,ug/m3
2000003,7,15/01/2015 13,15/01/2015 14,5,ug/m3
2000003,7,15/01/2015 14,15/01/2015 15,5,ug/m3
2000003,7,15/01/2015 15,15/01/2015 16,3,ug/m3
2000003,7,15/01/2015 16,15/01/2015 17,3,ug/m3
2000003,7,15/01/2015 17,15/01/2015 18,3,ug/m3
2000003,7,15/01/2015 18,15/01/2015 19,3,ug/m3
2000003,7,15/01/2015 19,15/01/2015 20,3,ug/m3
2000003,7,15/01/2015 20,15/01/2015 21,3,ug/m3
2000003,7,15/01/2015 21,15/01/2015 22,3,ug/m3
2000003,7,15/01/2015 22,15/01/2015 23,3,ug/m3
2000003,7,15/01/2015 23,16/01/2015 00,3,ug/m3
2000003,7,16/01/2015 00,16/01/2015 01,3,ug/m3
2000003,7,16/01/2015 01,16/01/2015 02,3,ug/m3
2000003,7,16/01/2015 03,16/01/2015 04,3,ug/m3
2000003,7,16/01/2015 04,16/01/2015 05,3,ug/m3
2000003,7,16/01/2015 05,16/01/2015 06,3,ug/m3
2000003,7,16/01/2015 06,16/01/2015 07,3,ug/m3
2000003,7,16/01/2015 07,16/01/2015 08,3,ug/m3
2000003,7,16/01/2015 08,16/01/2015 09,3,ug/m3
2000003,7,16/01/2015 09,16/01/2015 10,3,ug/m3
2000003,7,16/01/2015 10,16/01/2015 11,3,ug/m3
2000003,7,16/01/2015 11,16/01/2015 12,3,ug/m3
2000003,7,16/01/2015 12,16/01/2015 13,3,ug/m3
2000003,7,16/01/2015 13,16/01/2015 14,3,ug/m3
2000003,7,16/01/2015 14,16/01/2015 15,3,ug/m3
2000003,7,16/01/2015 15,16/01/2015 16,2,ug/m3
2000003,7,16/01/2015 16,16/01/2015 17,2,ug/m3
2000003,7,16/01/2015 17,16/01/2015 18,2,ug/m3
2000003,7,16/01/2015 18,16/01/2015 19,2,ug/m3
2000003,7,16/01/2015 19,16/01/2015 20,2,ug/m3
2000003,7,16/01/2015 20,16/01/2015 21,2,ug/m3
2000003,7,16/01/2015 21,16/01/2015 22,2,ug/m3
2000003,7,16/01/2015 22,16/01/2015 23,3,ug/m3
2000003,7,16/01/2015 23,17/01/2015 00,4,ug/m3
2000003,7,17/01/2015 00,17/01/2015 01,7,ug/m3
2000003,7,17/01/2015 01,17/01/2015 02,10,ug/m3
2000003,7,17/01/2015 03,17/01/2015 04,11,ug/m3
2000003,7,17/01/2015 04,17/01/2015 05,10,ug/m3
2000003,7,17/01/2015 05,17/01/2015 06,11,ug/m3
2000003,7,17/01/2015 06,17/01/2015 07,9,ug/m3
2000003,7,17/01/2015 07,17/01/2015 08,4,ug/m3
2000003,7,17/01/2015 08,17/01/2015 09,4,ug/m3
2000003,7,17/01/2015 09,17/01/2015 10,7,ug/m3
2000003,7,17/01/2015 10,17/01/2015 11,5,ug/m3
2000003,7,17/01/2015 11,17/01/2015 12,8,ug/m3
2000003,7,17/01/2015 12,17/01/2015 13,43,ug/m3
2000003,7,17/01/2015 13,17/01/2015 14,54,ug/m3
2000003,7,17/01/2015 14,17/01/2015 15,54,ug/m3
2000003,7,17/01/2015 15,17/01/2015 16,58,ug/m3
2000003,7,17/01/2015 16,17/01/2015 17,55,ug/m3
2000003,7,17/01/2015 17,17/01/2015 18,39,ug/m3
2000003,7,17/01/2015 18,17/01/2015 19,29,ug/m3
2000003,7,17/01/2015 19,17/01/2015 20,42,ug/m3
2000003,7,17/01/2015 20,17/01/2015 21,4,ug/m3
2000003,7,17/01/2015 21,17/01/2015 22,7,ug/m3
2000003,7,17/01/2015 22,17/01/2015 23,8,ug/m3
2000003,7,17/01/2015 23,18/01/2015 00,3,ug/m3
2000003,7,18/01/2015 00,18/01/2015 01,3,ug/m3
2000003,7,18/01/2015 01,18/01/2015 02,3,ug/m3
2000003,7,18/01/2015 03,18/01/2015 04,5,ug/m3
2000003,7,18/01/2015 04,18/01/2015 05,5,ug/m3
2000003,7,18/01/2015 05,18/01/2015 06,5,ug/m3
2000003,7,18/01/2015 06,18/01/2015 07,4,ug/m3
2000003,7,18/01/2015 07,18/01/2015 08,3,ug/m3
2000003,7,18/01/2015 08,18/01/2015 09,5,ug/m3
2000003,7,18/01/2015 09,18/01/2015 10,11,ug/m3
2000003,7,18/01/2015 10,18/01/2015 11,25,ug/m3
2000003,7,18/01/2015 11,18/01/2015 12,35,ug/m3
2000003,7,18/01/2015 12,18/01/2015 13,45,ug/m3
2000003,7,18/01/2015 13,18/01/2015 14,50,ug/m3
2000003,7,18/01/2015 14,18/01/2015 15,47,ug/m3
2000003,7,18/01/2015 15,18/01/2015 16,50,ug/m3
