refdate,pm10
2010-11-28,23.0000000
2010-11-29,25.0000000
2010-11-30,37.0000000
2010-12-01,21.0000000
2010-12-02,28.0000000
2010-12-03,26.0000000
2010-12-04,29.0000000
2010-12-05,31.0000000
2010-12-06,43.0000000
2010-12-07,23.0000000
2010-12-08,24.0000000
2010-12-09,33.0000000
2010-12-10,37.0000000
2010-12-11,54.0000000
2010-12-12,57.0000000
2010-12-13,47.0000000
2010-12-14,49.0000000
2010-12-15,55.0000000
2010-12-16,70.0000000
2010-12-17,52.0000000
2010-12-18,43.0000000
2010-12-19,50.0000000
2010-12-20,47.0000000
2010-12-21,64.0000000
2010-12-22,39.0000000
2010-12-23,13.0000000
2010-12-24,14.0000000
2010-12-25,14.0000000
2010-12-26,16.0000000
2010-12-27,47.0000000
2010-12-28,50.0000000
2010-12-29,67.0000000
2010-12-30,76.0000000
2010-12-31,86.0000000
2011-01-01,135.0000000
2011-01-02,80.0000000
2011-01-03,63.0000000
2011-01-04,54.0000000
2011-01-05,68.0000000
2011-01-06,59.0000000
2011-01-07,44.0000000
2011-01-08,56.0000000
2011-01-09,58.0000000
2011-01-10,29.0000000
2011-01-11,29.0000000
2011-01-12,36.0000000
2011-01-13,37.0000000
2011-01-14,35.0000000
2011-01-15,29.0000000
2011-01-16,23.0000000
2011-01-17,29.0000000
2011-01-18,38.0000000
2011-01-19,34.0000000
2011-01-20,16.0000000
2011-01-21,32.0000000
2011-01-22,43.0000000
2011-01-23,31.0000000
2011-01-24,48.0000000
2011-01-25,76.0000000
2011-01-26,88.0000000
2011-01-27,115.0000000
2011-01-28,59.0000000
2011-01-29,39.0000000
2011-01-30,46.0000000
2011-01-31,50.0000000
2011-02-01,49.0000000
2011-02-02,41.0000000
2011-02-03,55.0000000
2011-02-04,65.0000000
2011-02-05,58.0000000
2011-02-06,46.0000000
2011-02-07,67.0000000
2011-02-08,69.0000000
2011-02-09,74.0000000
2011-02-10,72.0000000
2011-02-11,46.0000000
2011-02-12,48.0000000
2011-02-13,107.0000000
2011-02-14,122.0000000
2011-02-15,96.0000000
2011-02-16,25.0000000
2011-02-17,24.0000000
2011-02-18,34.0000000
2011-02-19,45.0000000
2011-02-20,40.0000000
2011-02-21,40.0000000
2011-02-22,44.0000000
